Fav,Pos,Race No,Share,Name,Net Time,Category,Cat Pos,Gender,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,The Mule
,84,438,,NAIM HAMZAH,0:57:53,18 - 29,26,Male,Heat10 5:00:00 PM,0:00:03,0:02:13,0:05:07,0:09:57,0:20:23,0:25:14,0:30:20,0:35:08,0:41:39,0:47:54,0:50:42,0:55:47,0:57:53
,85,365,,MARCUS CHONG,0:58:11,18 - 29,27,Male,Heat4 4:00:00 PM,0:00:03,0:02:09,0:04:30,0:10:07,0:19:10,0:21:56,0:26:53,0:35:25,0:41:55,0:49:36,0:52:20,0:56:26,0:58:11
,86,413,,ALEXANDER TEOH,0:58:26,30 - 39,48,Male,Heat8 4:40:00 PM,0:00:05,0:02:32,0:05:27,0:10:47,0:19:18,0:21:47,0:26:32,0:32:58,0:40:01,0:46:35,0:50:03,0:55:28,0:57:59
,87,389,,HADRI ZULKIFLI,0:58:38,30 - 39,49,Male,Heat6 4:20:00 PM,0:00:05,0:02:29,0:05:31,0:10:12,0:19:14,0:22:31,0:27:45,0:33:57,0:39:59,0:48:54,0:51:35,0:56:30,0:58:38
,88,418,,RAFIQY ROSLY,0:58:46,18 - 29,28,Male,Heat8 4:40:00 PM,0:00:05,0:02:22,0:05:19,0:10:31,0:19:25,0:22:25,0:27:20,0:32:18,0:38:58,0:48:33,0:51:41,0:56:50,0:58:46
,89,410,,KHAIRUL HAKIM,0:58:57,30 - 39,50,Male,Heat8 4:40:00 PM,0:00:04,0:02:27,0:05:10,0:10:34,0:23:36,0:25:44,0:29:08,0:35:31,0:44:13,0:50:09,0:53:02,0:56:51,0:58:57
,90,423,,MOHD FITRI,0:59:01,30 - 39,51,Male,Heat9 4:50:00 PM,0:00:04,0:02:32,0:05:47,0:11:33,0:20:21,0:24:34,0:31:51,0:37:10,0:43:00,0:46:59,0:50:40,0:56:08,0:59:01
,91,367,,JASON MARK,0:59:26,30 - 39,52,Male,Heat4 4:00:00 PM,0:00:04,0:02:08,0:05:14,0:10:50,0:19:25,0:22:36,0:28:30,0:33:30,0:42:19,0:48:51,0:51:32,0:57:30,0:59:26
,92,425,,SEVA SANGAR S VISVANATHAN,0:59:42,40+,12,Male,Heat9 4:50:00 PM,0:00:03,0:02:34,0:05:45,0:11:51,0:23:28,0:26:44,0:31:24,0:38:28,0:48:04,0:49:18,0:52:21,0:57:09,0:59:42
,93,426,,MUHAMMAD AIMAN MOHMAD,1:00:01,30 - 39,53,Male,Heat9 4:50:00 PM,0:00:03,0:02:27,0:05:04,0:10:34,0:20:08,0:25:09,0:30:07,0:36:48,0:43:42,0:50:29,0:53:06,0:57:49,1:00:01
,94,341,,MUHAMMAD HAFIZ MUHAMAD ZAMROS,1:00:22,18 - 29,29,Male,Heat2 3:40:00 PM,0:00:03,0:02:02,0:04:50,0:10:27,0:19:09,0:21:43,0:25:58,0:33:08,0:41:56,0:51:07,0:53:45,0:58:00,1:00:22
,95,395,,RAZAQ ATAYEE,1:01:09,30 - 39,54,Male,Heat7 4:30:00 PM,0:00:00,0:02:06,0:05:04,0:10:19,0:19:02,0:22:40,0:27:04,0:37:20,0:42:18,0:50:58,0:53:19,0:58:30,1:01:09
,96,435,,SIMON CHANG,1:01:09,30 - 39,55,Male,Heat10 5:00:00 PM,0:00:02,0:01:57,0:04:26,0:09:31,0:18:46,0:22:12,0:25:56,0:31:54,0:42:57,0:53:44,0:55:44,0:59:11,1:01:09
,97,398,,MUHAMMAD SYAMIL AIMAN BIN AHMAD FADZLI,1:01:24,18 - 29,30,Male,Heat7 4:30:00 PM,0:00:03,0:02:04,0:05:16,0:09:55,0:19:41,0:23:17,0:27:57,0:33:07,0:43:01,0:51:50,0:54:33,0:59:50,1:01:24
,98,380,,RAZI RAHMAN,1:01:34,18 - 29,31,Male,Heat5 4:10:00 PM,0:00:00,0:01:59,0:05:20,0:10:52,0:21:04,0:25:18,0:30:07,0:34:24,0:38:57,0:51:54,0:54:23,0:59:25,1:01:34
